Fred Astaire
Lauren Bacall
Brigitte Bardot
John Belushi
Ingmar Bergman
Ingrid Bergman
Humphrey Bogart
Marlon Brando
Richard Burton
James Cagney
Gary Cooper
Bette Davis
Doris Day
James Dean
Marlene Dietrich
Kirk Douglas
Henry Fonda
Joan Fontaine
Clark Gable
Judy Garland
John Gielgud
Cary Grant
Alec Guinness
Rita Hayworth
Margaux Hemingway
Audrey Hepburn
Katharine Hepburn
Charlton Heston
Alfred Hitchcock
William Holden
Buster Keaton
Gene Kelly
Grace Kelly
Deborah Kerr
Alan Ladd
Veronica Lake
Burt Lancaster
Bruce Lee
Vivien Leigh
Sophia Loren
Peter Lorre
Groucho Marx
James Mason
Marcello Mastroianni
Robert Mitchum
Marilyn Monroe
Paul Newman
David Niven
Laurence Olivier
Gregory Peck
Tyrone Power
Elvis Presley
Anthony Quinn
Jane Russell
Randolph Scott
Frank Sinatra
James Stewart
Elizabeth Taylor
Shirley Temple
Gene Tierney
Spencer Tracy
John Wayne
Raquel Welch
Orson Welles
Natalie Wood
Gong Li
Elena Koreneva
Richard Paul
John Cleese
Brad Pitt
Woody Allen
Gillian Anderson
Pamela Anderson
Jennifer Aniston
Patricia Arquette
Rowan Atkinson
Dan Aykroyd
Kevin Bacon
Fairuza Balk
Antonio Banderas
Adrienne Barbeau
Drew Barrymore
Kim Basinger
Yasmine Bleeth
Kenneth Branagh
Matthew Broderick
Pierce Brosnan
Sandra Bullock
Steve Buscemi
Nicolas Cage
Neve Campbell
Tia Carrere
Jim Carrey
Phoebe Cates
Charles Chaplin
George Clooney
Jennifer Connelly
Sean Connery
Kevin Costner
Russell Crowe
Tom Cruise
John Cusack
Claire Danes
Geena Davis
John Denver
Johnny Depp
Bo Derek
Leonardo DiCaprio
Cameron Diaz
Michael Douglas
David Duchovny
Clint Eastwood
Erika Eleniak
Cary Elwes
Sherilyn Fenn
Ralph Fiennes
Colin Firth
Harrison Ford
Jodie Foster
Morgan Freeman
Richard Gere
Gina Gershon
Mel Gibson
Whoopi Goldberg
Jeff Goldblum
Linda Hamilton
Tom Hanks
Teri Hatcher
Ethan Hawke
Salma Hayek
Anne Heche
Dustin Hoffman
Anthony Hopkins
Ron Howard
Helen Hunt
Elizabeth Hurley
Milla Jovovich
Ashley Judd
Harvey Keitel
Nicole Kidman
Val Kilmer
Stephen King
Nastassja Kinski
Kevin Kline
Diane Lane
Jude Law
Heather Locklear
Jennifer Lopez
Traci Lords
Dolph Lundgren
Steve Martin
